Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:6.A1,"urn:cite:hmt:vaimg.VA080VN-0583@0.662,0.2292,0.028,0.015",urn:cite:hmt:msA.80v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A2,"urn:cite:hmt:vaimg.VA080VN-0583@0.656,0.3434,0.027,0.015",urn:cite:hmt:msA.80v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A3,"urn:cite:hmt:vaimg.VA080VN-0583@0.644,0.6101,0.029,0.0128",urn:cite:hmt:msA.80v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A4,"urn:cite:hmt:vaimg.VA081RN-0082@0.214,0.4853,0.029,0.0113",urn:cite:hmt:msA.81r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A5,"urn:cite:hmt:vaimg.VA081VN-0584@0.613,0.3629,0.025,0.0128",urn:cite:hmt:msA.81v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A6,"urn:cite:hmt:vaimg.VA082RN-0254@0.205,0.275,0.029,0.015",urn:cite:hmt:msA.82r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A7,"urn:cite:hmt:vaimg.VA083VN-0586@0.772,0.2201,0.027,0.0135",urn:cite:hmt:msA.83v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A8,"urn:cite:hmt:vaimg.VA083VN-0586@0.748,0.3306,0.037,0.0173",urn:cite:hmt:msA.83v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A9,"urn:cite:hmt:vaimg.VA083VN-0586@0.486,0.4313,0.038,0.0128",urn:cite:hmt:msA.83v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A10,"urn:cite:hmt:vaimg.VA084VN-0587@0.806,0.5357,0.028,0.0105",urn:cite:hmt:msA.84v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A11,"urn:cite:hmt:vaimg.VA084VN-0587@0.511,0.5763,0.028,0.0105",urn:cite:hmt:msA.84v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A12,"urn:cite:hmt:vaimg.VA084VN-0587@0.502,0.6371,0.028,0.0105",urn:cite:hmt:msA.84v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A13,"urn:cite:hmt:vaimg.VA085RN-0257@0.439,0.3343,0.027,0.0128",urn:cite:hmt:msA.84v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A14,"urn:cite:hmt:vaimg.VA085RN-0257@0.462,0.4343,0.028,0.0105",urn:cite:hmt:msA.85r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A15,"urn:cite:hmt:vaimg.VA085VN-0588@0.499,0.2697,0.029,0.012",urn:cite:hmt:msA.85r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A16,"urn:cite:hmt:vaimg.VA085VN-0588@0.518,0.2878,0.026,0.0135",urn:cite:hmt:msA.85r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A17,"urn:cite:hmt:vaimg.VA085VN-0588@0.606,0.589,0.127,0.0248",urn:cite:hmt:msA.85v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A18,"urn:cite:hmt:vaimg.VA087RN-0259@0.215,0.4072,0.01,0.009",urn:cite:hmt:msA.87r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A19,"urn:cite:hmt:vaimg.VA087VN-0590@0.497,0.3449,0.016,0.0105",urn:cite:hmt:msA.87v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A20,"urn:cite:hmt:vaimg.VA087VN-0590@0.545,0.4365,0.012,0.0098",urn:cite:hmt:msA.87v
urn:cts:greekLit:tlg5026.msAil.hmt:6.A21,"urn:cite:hmt:vaimg.VA088RN-0260@0.379,0.5567,0.019,0.012",urn:cite:hmt:msA.88r
urn:cts:greekLit:tlg5026.msAil.hmt:6.A22,"",
urn:cts:greekLit:tlg5026.msAil.hmt:6.A23,"",
