Slur,Reading,Image
urn:cite:hmt:venAslur.6-1,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.48@πολύκμητός,"urn:cite:hmt:vaimg.VA081RN-0082@0.36,0.6401,0.132,0.0285"
urn:cite:hmt:venAslur.6-2,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.73@ἀρηϊφίλων,"urn:cite:hmt:vaimg.VA081VN-0584@0.64,0.6296,0.109,0.0263"
urn:cite:hmt:venAslur.6-3,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.76@οἰωνόπλων,"urn:cite:hmt:vaimg.VA082RN-0254@0.361,0.1946,0.123,0.0323"
urn:cite:hmt:venAslur.6-3,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.93@δυοκαίδεκα,"urn:cite:hmt:vaimg.VA082RN-0254@0.338,0.5169,0.142,0.0263"
urn:cite:hmt:venAslur.6-4,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.116@κορυθαίολος,"urn:cite:hmt:vaimg.VA082VN-0585@0.689,0.4756,0.127,0.0248"
urn:cite:hmt:venAslur.6-5,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.126@δολιχόσκιον,"urn:cite:hmt:vaimg.VA082VN-0585@0.622,0.6634,0.178,0.0248"
urn:cite:hmt:venAslur.6-6,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.130@Λυκόοργος,"urn:cite:hmt:vaimg.VA083RN-0255@0.454,0.2464,0.089,0.0278"
urn:cite:hmt:venAslur.6-7,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.130@χαλκοκορυστήν,"urn:cite:hmt:vaimg.VA084RN-0256@0.416,0.5875,0.173,0.0263"
urn:cite:hmt:venAslur.6-8,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.130@ἐννεαβοίων,"urn:cite:hmt:vaimg.VA085RN-0257@0.459,0.3388,0.131,0.024"
urn:cite:hmt:venAslur.6-9,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.130@ἠπιόδωρος,"urn:cite:hmt:vaimg.VA085RN-0257@0.239,0.6183,0.126,0.0285"
urn:cite:hmt:venAslur.6-10,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.305@ἐρυσίπτολι,"urn:cite:hmt:vaimg.VA086RN-0258@0.296,0.6965,0.097,0.0225"
urn:cite:hmt:venAslur.6-11,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.308@δυοκαίδεκα,"urn:cite:hmt:vaimg.VA086VN-0589@0.629,0.2682,0.121,0.0218"
urn:cite:hmt:venAslur.6-12,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.319@ἡνδεκάπηχυ,"urn:cite:hmt:vaimg.VA086VN-0589@0.524,0.4793,0.131,0.024"
urn:cite:hmt:venAslur.6-13,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.324@περικυτὰ,"urn:cite:hmt:vaimg.VA086VN-0589@0.653,0.5718,0.109,0.0233"
urn:cite:hmt:venAslur.6-14,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.359@κορυθαίολος,"urn:cite:hmt:vaimg.VA087VN-0590@0.681,0.2863,0.103,0.0218"
urn:cite:hmt:venAslur.6-15,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.369@κορυθαίολος,"urn:cite:hmt:vaimg.VA087VN-0590@0.684,0.4718,0.121,0.0218"
urn:cite:hmt:venAslur.6-16,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.398@χαλκοκορυστῇ,"urn:cite:hmt:vaimg.VA088RN-0260@0.47,0.5612,0.14,0.0225"
urn:cite:hmt:venAslur.6-17,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.442@ἑλκεσιπέπλους,"urn:cite:hmt:vaimg.VA089RN-0261a@0.478,0.45,0.131,0.0255"
urn:cite:hmt:venAslur.6-18,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.4469@ἱ̈ππιοχαίτην,"urn:cite:hmt:vaimg.VA089VN-0592@0.736,0.4914,0.129,0.0285"
urn:cite:hmt:venAslur.6-19,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:6.527@αἰειγενέτῃσι,"urn:cite:hmt:vaimg.VA090VN-0593@0.699,0.6499,0.161,0.021"
urn:cite:hmt:venAslur.6-20,,""
